N,R1,R2,W_P,L_P,vref_V,iq_uA,err_from_target_mV,spec_vref_pass,source
5,196200.69359823022,3915.3747362091885,1.1904809068089997e-05,1.4646632085560029e-06,2.5,8.9948,1300.0,False,analytical
11,68883.0352995681,13253.150534569619,1.215458326981379e-05,2.693814100009037e-06,0.972194,21.9148,227.806,False,analytical
6,60053.8419848882,12162.630364776503,3.841481056467599e-06,1.7196463969984382e-06,0.878711,24.9251,321.289,False,analytical
19,178157.7762206826,39213.98127830561,9.366615860476184e-06,1.6810852290024335e-06,0.995828,8.2807,204.172,False,analytical
8,61137.22715026725,13937.190115854568,5.168135223265639e-06,2.661329353066425e-06,0.885815,23.9762,314.185,False,analytical
16,92998.3082894837,23549.228098310483,1.614285812923005e-05,3.2291299649148197e-06,0.93306,15.4443,266.94,False,analytical
10,57110.17148135469,9328.015807566724,1.3613589268722764e-05,1.8021263972933432e-06,1.014447,27.0929,185.553,False,analytical
13,65555.09056592622,33256.16072014888,9.25862557432926e-06,3.707981316887689e-07,0.78071,18.2165,419.29,False,analytical
4,188851.57309961462,21757.35582516158,1.6294086903449247e-05,9.443559280722752e-07,0.961074,8.5466,238.926,False,analytical
9,57899.417802191696,4514.906876413112,1.1490353807857471e-05,3.7103887485380217e-06,1.37844,28.8395,178.44,False,analytical
15,94552.01275046106,10301.425091073203,1.2282983193913128e-06,3.834472561089223e-06,1.292576,17.1668,92.576,False,analytical
18,36116.59278696967,16695.398282133876,1.9681397622506715e-05,2.918442458949362e-06,0.811643,34.0832,388.357,False,analytical
17,221951.00805592473,15741.392542602405,9.940625256226167e-06,3.213111566580122e-06,1.682731,7.5728,482.731,False,analytical
18,175664.88306801917,9500.482479792043,1.4799457936135777e-05,1.6270571824451113e-06,2.031615,9.721,831.615,False,analytical
20,105448.1393304526,4200.814355862457,3.996497508320319e-06,2.8077613389422066e-06,2.5,16.416,1300.0,False,analytical
14,54149.948740162996,10248.359199599825,1.4472823988532928e-05,3.8131775876892132e-06,1.010485,27.951,189.515,False,analytical
13,233195.2057292854,12313.476265612238,1.6308035069490108e-05,1.8684340773418742e-06,1.905775,7.3317,705.775,False,analytical
17,180531.61577794695,10952.273522602414,1.9246277525037343e-05,3.96183210049964e-06,1.85732,9.4003,657.32,False,analytical
14,57680.32847238162,25479.99818174497,2.0868047602821873e-06,3.08952071771946e-06,0.804444,21.6449,395.556,False,analytical
15,91851.54423184326,3181.7216444545575,1.758233633300659e-05,1.4150991822897012e-06,2.5,18.9407,1300.0,False,analytical
20,75563.8398353584,8253.244760891552,8.789867903926134e-06,4.247667852248157e-07,1.359066,21.4753,159.066,False,analytical
10,167828.98832054,37288.91239525967,1.3350049280695745e-05,3.5154303915553636e-06,0.917915,8.7754,282.085,False,analytical
12,227976.0996479365,14508.00310437374,8.515991895894397e-06,2.079566611149393e-06,1.659453,7.4232,459.453,False,analytical
15,32732.818869755723,35781.40753406806,1.3166414255617806e-05,1.8266521905323954e-06,0.714044,26.2719,485.956,False,analytical
7,131374.66828030942,17596.401236652568,7.935713168116e-06,2.59286578553153e-06,1.025582,12.0829,174.418,False,analytical
6,89721.66403392245,21414.892252946986,2.973924385141681e-06,1.1681478500196522e-06,0.844069,16.1963,355.931,False,analytical
18,38796.222689839626,8445.787587905548,5.317174574207618e-06,9.324623436562865e-07,0.993239,38.1017,206.761,False,analytical
17,30908.051997273553,5394.989213046507,1.1257783087430578e-05,2.557910314597867e-06,1.069618,49.5826,130.382,False,analytical
13,54879.98640682001,5446.829754730194,8.63705594606487e-06,1.6314913521272675e-06,1.318103,29.8375,118.103,False,analytical
13,115305.859388819,3830.747188404971,1.4941471246871188e-05,7.67979552049662e-07,2.5,15.1087,1300.0,False,analytical
19,79755.42467493641,5172.815373994557,6.400115674147389e-06,1.7048135779457495e-06,1.823627,21.1944,623.627,False,analytical
11,146994.6585923882,15343.552197114872,5.546128515733987e-06,8.762334148739665e-07,1.243882,11.088,43.882,False,analytical
16,260211.02766957643,13085.507627864787,1.8875244311635052e-06,2.232831933009432e-06,2.075328,6.5863,875.328,False,analytical
20,30436.04177281974,28335.137025750788,1.707597580251485e-05,4.110305746746561e-07,0.733188,30.6273,466.812,False,analytical
13,82472.87908354563,17075.23944646629,1.1398814844154572e-05,3.4430304966071773e-06,0.970271,18.0817,229.729,False,analytical
7,217367.52926397783,15141.24891283216,1.5733168323260542e-05,1.2249667279108207e-06,1.372187,7.7416,172.187,False,analytical
12,193333.9688932287,8976.017153593617,7.727525321591519e-06,8.820925774952861e-07,2.033658,8.8972,833.658,False,analytical
10,173350.27757110575,4751.924090803616,1.814618824718412e-05,3.466775354313637e-06,2.5,10.1066,1300.0,False,analytical
19,72841.61133722721,8585.798592066434,1.898490121376362e-05,3.2549470453633723e-06,1.295796,22.1056,95.796,False,analytical
19,84673.18050742443,7167.0366158851,1.5233487444163786e-06,3.145857422426147e-06,1.549297,19.5993,349.297,False,analytical
12,97139.0286277655,16931.791203048113,5.590610489013179e-06,1.7564057447363218e-06,1.018549,15.7797,181.451,False,analytical
8,96644.90705844495,8680.047402564964,1.2863511534067602e-05,2.9998741518594464e-06,1.248546,17.09,48.546,False,analytical
6,50434.86504995251,3280.308951229833,5.237971607221158e-06,8.438417941560407e-07,1.36218,33.5101,162.18,False,analytical
17,208349.23247347333,3212.515105252477,1.5836747679677105e-05,6.517564637110293e-07,2.5,8.5082,1300.0,False,analytical
8,44656.6581726685,35013.39904909928,1.721232701851403e-05,3.046387673853505e-06,0.718563,22.5932,481.437,False,analytical
10,44235.37194039981,5613.959443273265,3.7240999719981814e-06,1.8579243094097583e-06,1.11904,36.1088,80.96,False,analytical
8,40130.440734878764,14852.923485127823,9.824060660653107e-06,1.204869322463183e-06,0.795246,32.7372,404.754,False,analytical
9,160457.86049486755,5784.7293203480995,1.267483794685595e-05,2.4894104118430727e-06,2.225602,10.8276,1025.602,False,analytical
11,47539.478408340816,3438.3232455460898,1.973133623343402e-05,9.786215430010854e-07,1.507101,35.3095,307.101,False,analytical
13,283182.83140195627,5822.976798641826,1.5284950912321075e-05,1.0669703632585872e-06,2.5,6.2282,1300.0,False,analytical
11,163569.49975516775,10599.191182916442,4.702732197115713e-06,2.39390537179414e-06,1.606652,10.3348,406.652,False,analytical
8,256484.10930777463,24669.533880686835,1.39359600806149e-05,2.646255397216212e-06,1.208908,6.4022,8.908,True,analytical
14,71170.83616802425,4119.00865572242,1.5365822975565472e-05,1.9352704971327673e-06,1.828833,23.9076,628.833,False,analytical
15,210371.17223739967,9048.557752420795,1.2698671326127465e-05,1.507890830295794e-06,2.277638,8.2035,1077.638,False,analytical
7,103035.50261335252,4968.874780987636,6.67764338671339e-06,2.330481780165502e-06,1.693148,16.666,493.148,False,analytical
12,66577.17986943581,18350.89708501069,9.020166031591946e-06,1.1323282804891465e-06,0.883062,21.1944,316.938,False,analytical
18,95944.98485665822,9205.482460931502,1.3638309643276593e-05,2.1974227822485836e-06,1.428796,17.1183,228.796,False,analytical
12,77162.69978407175,3055.698261452311,9.670710054465732e-06,1.4338949998607408e-06,2.272188,22.4387,1072.188,False,analytical
8,224597.02268063085,31627.101455827386,1.4283196837945261e-05,2.365469181680434e-06,1.031756,7.0251,168.244,False,analytical
7,154875.79346607105,13810.725788632188,1.1651585177052297e-06,3.3091905236511117e-06,1.214136,10.6707,14.136,False,analytical
17,46186.824338146136,18074.306725310038,1.3115714801261029e-05,2.169029574452999e-06,0.837167,28.0107,362.833,False,analytical
6,158719.85776609989,13532.237501352845,3.591934472826927e-06,2.789341165097183e-06,1.193295,10.4498,6.705,True,analytical
7,127201.46066096626,4435.102306022338,4.287955745874282e-06,2.093613699632116e-06,2.092798,13.674,892.798,False,analytical
10,37188.66352926995,8802.237598462336,1.338372798355985e-06,2.269679240317416e-06,0.901494,39.1382,298.506,False,analytical
19,298100.34783598257,11506.944947831385,1.1768567081031506e-05,2.752266944332412e-06,2.5,5.8138,1300.0,False,analytical
16,243836.4220642397,8455.68572018801,4.3492351584476015e-06,1.0309194388777298e-06,2.5,7.1346,1300.0,False,analytical
10,65654.76515826766,39586.026599522585,1.7048335938531421e-06,2.4778214585184802e-06,0.748727,17.1036,451.273,False,analytical
13,125643.90526271326,7726.753916648663,8.328141261661025e-06,2.980393581837621e-06,1.728245,13.4962,528.245,False,analytical
4,40638.92533154086,6116.299565846322,7.141257823464133e-06,3.363572790619505e-06,0.888124,38.4984,311.876,False,analytical
12,52141.4096438217,11627.01792581859,7.85593145436939e-06,3.246423875357628e-06,0.938084,28.2271,261.916,False,analytical
14,74156.78286658422,24261.560568772755,1.694792160108355e-05,3.329740092063812e-06,0.858533,18.2893,341.467,False,analytical
